CODE	CODE2	DISPLAY	SYSTEM	VALIDCODE	ACCPDX	ASTERISK	IM
04.04	0404	Other incision of cranial and peripheral nerves	ICD9CM_2010_IM	1	Y	0	0
04.05	0405	Gasserian ganglionectomy	ICD9CM_2010_IM	1	Y	0	0
04.06	0406	Other cranial or peripheral ganglionectomy	ICD9CM_2010_IM	1	Y	0	0
04.07	0407	Other excision or avulsion of cranial and peripheral nerves	ICD9CM_2010_IM	1	Y	0	0
04.1	041	Diagnostic procedures on peripheral nervous system	ICD9CM_2010_IM	0	Y	0	0
04.11	0411	Closed [percutaneous] [needle] biopsy of cranial or peripheral nerve or ganglion	ICD9CM_2010_IM	1	Y	0	0
04.12	0412	Open biopsy of cranial or peripheral nerve or ganglion	ICD9CM_2010_IM	1	Y	0	0
04.19	0419	Other diagnostic procedures on cranial and peripheral nerves and ganglia	ICD9CM_2010_IM	1	Y	0	0
04.2	042	Destruction of cranial and peripheral nerves	ICD9CM_2010_IM	1	Y	0	0
04.3	043	Suture of cranial and peripheral nerves	ICD9CM_2010_IM	1	Y	0	0
04.4	044	Lysis of adhesions and decompression of cranial and peripheral nerve	ICD9CM_2010_IM	0	Y	0	0
04.41	0441	Decompression of trigeminal nerve root	ICD9CM_2010_IM	1	Y	0	0
04.42	0442	Other cranial nerve decompression	ICD9CM_2010_IM	1	Y	0	0
04.420	04420	Decompression of optic nerve (IM)	ICD9CM_2010_IM	1	Y	0	1
04.421	04421	Decompression of facial nerve with or without graft (IM)	ICD9CM_2010_IM	1	Y	0	1
04.43	0443	Release of carpal tunnel	ICD9CM_2010_IM	1	Y	0	0
04.44	0444	Release of tarsal tunnel	ICD9CM_2010_IM	1	Y	0	0
04.49	0449	Other peripheral nerve or ganglion decompression or lysis of adhesions	ICD9CM_2010_IM	1	Y	0	0
04.5	045	Cranial or peripheral nerve graft	ICD9CM_2010_IM	1	Y	0	0
04.6	046	Transposition of cranial and peripheral nerves	ICD9CM_2010_IM	1	Y	0	0
04.7	047	Other cranial or peripheral neuroplasty	ICD9CM_2010_IM	0	Y	0	0
04.71	0471	Hypoglossal-facial anastomosis	ICD9CM_2010_IM	1	Y	0	0
04.72	0472	Accessory-facial anastomosis	ICD9CM_2010_IM	1	Y	0	0
04.73	0473	Accessory-hypoglossal anastomosis	ICD9CM_2010_IM	1	Y	0	0
04.74	0474	Other anastomosis of cranial or peripheral nerve	ICD9CM_2010_IM	1	Y	0	0
04.75	0475	Revision of previous repair of cranial and peripheral nerves	ICD9CM_2010_IM	1	Y	0	0
04.76	0476	Repair of old traumatic injury of cranial and peripheral nerves	ICD9CM_2010_IM	1	Y	0	0
04.79	0479	Other neuroplasty	ICD9CM_2010_IM	1	Y	0	0
04.8	048	Injection into peripheral nerve	ICD9CM_2010_IM	0	Y	0	0
04.80	0480	Peripheral nerve injection, not otherwise specified	ICD9CM_2010_IM	1	Y	0	0
04.81	0481	Injection of anesthetic into peripheral nerve for analgesia	ICD9CM_2010_IM	1	Y	0	0
04.89	0489	Injection of other agent, except neurolytic	ICD9CM_2010_IM	1	Y	0	0
04.9	049	Other operations on cranial and peripheral nerves	ICD9CM_2010_IM	0	Y	0	0
04.91	0491	Neurectasis	ICD9CM_2010_IM	1	Y	0	0
04.92	0492	Implantation or replacement of peripheral neurostimulator lead(s)	ICD9CM_2010_IM	1	Y	0	0
04.93	0493	Removal of peripheral neurostimulator lead(s)	ICD9CM_2010_IM	1	Y	0	0
04.99	0499	Other operations on cranial and peripheral nerves	ICD9CM_2010_IM	1	Y	0	0
05	05	Operations on sympathetic nerves or ganglia	ICD9CM_2010_IM	0	Y	0	0
05.0	050	Division of sympathetic nerve or ganglion	ICD9CM_2010_IM	1	Y	0	0
05.1	051	Diagnostic procedures on sympathetic nerves or ganglia	ICD9CM_2010_IM	0	Y	0	0
05.11	0511	Biopsy of sympathetic nerve or ganglion	ICD9CM_2010_IM	1	Y	0	0
05.19	0519	Other diagnostic procedures on sympathetic nerves or ganglia	ICD9CM_2010_IM	1	Y	0	0
05.2	052	Sympathectomy	ICD9CM_2010_IM	0	Y	0	0
05.21	0521	Sphenopalatine ganglionectomy	ICD9CM_2010_IM	1	Y	0	0
05.22	0522	Cervical sympathectomy	ICD9CM_2010_IM	1	Y	0	0
05.23	0523	Lumbar sympathectomy	ICD9CM_2010_IM	1	Y	0	0
05.24	0524	Presacral sympathectomy	ICD9CM_2010_IM	1	Y	0	0
05.25	0525	Periarterial sympathectomy	ICD9CM_2010_IM	1	Y	0	0
05.29	0529	Other sympathectomy and ganglionectomy	ICD9CM_2010_IM	1	Y	0	0
05.3	053	Injection into sympathetic nerve or ganglion	ICD9CM_2010_IM	0	Y	0	0
05.31	0531	Injection of anesthetic into sympathetic nerve for analgesia	ICD9CM_2010_IM	1	Y	0	0
05.32	0532	Injection of neurolytic agent into sympathetic nerve	ICD9CM_2010_IM	1	Y	0	0
05.39	0539	Other injection into sympathetic nerve or ganglion	ICD9CM_2010_IM	1	Y	0	0
05.8	058	Other operations on sympathetic nerves or ganglia	ICD9CM_2010_IM	0	Y	0	0
05.81	0581	Repair of sympathetic nerve or ganglion	ICD9CM_2010_IM	1	Y	0	0
05.89	0589	Other operations on sympathetic nerves or ganglia	ICD9CM_2010_IM	1	Y	0	0
05.9	059	Other operations on nervous system	ICD9CM_2010_IM	1	Y	0	0
06	06	Operations on thyroid and parathyroid glands	ICD9CM_2010_IM	0	Y	0	0
06.0	060	Incision of thyroid field	ICD9CM_2010_IM	0	Y	0	0
06.01	0601	Aspiration of thyroid field	ICD9CM_2010_IM	1	Y	0	0
06.02	0602	Reopening of wound of thyroid field	ICD9CM_2010_IM	1	Y	0	0
06.09	0609	Other incision of thyroid field	ICD9CM_2010_IM	1	Y	0	0
06.1	061	Diagnostic procedures on thyroid and parathyroid glands	ICD9CM_2010_IM	0	Y	0	0
06.11	0611	Closed [percutaneous] [needle] biopsy of thyroid gland	ICD9CM_2010_IM	1	Y	0	0
06.12	0612	Open biopsy of thyroid gland	ICD9CM_2010_IM	1	Y	0	0
06.13	0613	Biopsy of parathyroid gland	ICD9CM_2010_IM	1	Y	0	0
06.19	0619	Other diagnostic procedures on thyroid and parathyroid glands	ICD9CM_2010_IM	1	Y	0	0
06.2	062	Unilateral thyroid lobectomy	ICD9CM_2010_IM	1	Y	0	0
06.3	063	Other partial thyroidectomy	ICD9CM_2010_IM	0	Y	0	0
06.31	0631	Excision of lesion of thyroid	ICD9CM_2010_IM	1	Y	0	0
06.32	0632	Endoscopic thyroidectomy (IM)	ICD9CM_2010_IM	1	Y	0	1
06.39	0639	Other partial thyroidectomy	ICD9CM_2010_IM	1	Y	0	0
06.4	064	Complete thyroidectomy	ICD9CM_2010_IM	1	Y	0	0
06.5	065	Substernal thyroidectomy	ICD9CM_2010_IM	0	Y	0	0
06.50	0650	Substernal thyroidectomy, not otherwise specified	ICD9CM_2010_IM	1	Y	0	0
06.51	0651	Partial substernal thyroidectomy	ICD9CM_2010_IM	1	Y	0	0
